"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar un nuevo usuario","Agregar un nuevo usuario exitosamente","SUCCESS","2024-05-04T16:35:17.0770701-05:00[America/Bogota]","0.0","14.93"
"Inicio de sesión de usuario","Inicio de sesión exitoso","SUCCESS","2024-05-07T18:04:19.7969965-05:00[America/Bogota]","0.0","9.74"
